date,value
3/2/2020,116.8165
3/3/2020,116.4973
3/4/2020,116.7807
3/5/2020,116.794
3/6/2020,116.7176
3/9/2020,117.1999
3/10/2020,117.9139
3/11/2020,118.262
3/12/2020,120.5015
3/13/2020,120.4484
3/16/2020,120.9493
3/17/2020,122.4938
3/18/2020,124.1743
3/19/2020,125.0722
3/20/2020,124.9485
3/23/2020,126.1428
3/24/2020,125.5185
3/25/2020,124.8079
3/26/2020,122.4466
3/27/2020,122.4189
3/30/2020,123.3111
3/31/2020,122.5495
4/1/2020,123.8154
4/2/2020,123.6099
4/3/2020,124.4354
4/6/2020,124.1805
4/7/2020,123.1142
4/8/2020,123.2402
4/9/2020,122.4932
4/10/2020,122.176
4/13/2020,122.5387
4/14/2020,122.1315
4/15/2020,123.095
4/16/2020,123.4804
4/17/2020,122.8895
4/20/2020,123.1228
4/21/2020,123.9315
4/22/2020,123.9471
4/23/2020,123.777
4/24/2020,124.1851
4/27/2020,123.9092
4/28/2020,123.3922
4/29/2020,122.7994
4/30/2020,122.3493
5/1/2020,123.1753
5/4/2020,123.2345
5/5/2020,122.8223
5/6/2020,123.6306
5/7/2020,123.1454
5/8/2020,122.557
5/11/2020,123.2528
5/12/2020,123.0805
5/13/2020,123.5625
5/14/2020,123.6632
5/15/2020,123.6186
5/18/2020,122.8164
5/19/2020,122.5857
5/20/2020,122.1197
5/21/2020,122.1087
5/22/2020,122.3361
5/25/2020,.
5/26/2020,121.4019
5/27/2020,121.5835
5/28/2020,121.0304
5/29/2020,120.9625
6/1/2020,120.2854
6/2/2020,119.7012
6/3/2020,119.272
6/4/2020,119.3199
6/5/2020,118.8294
6/8/2020,118.6782
6/9/2020,118.6067
6/10/2020,118.5413
6/11/2020,119.2552
6/12/2020,119.6824
6/15/2020,119.9736
6/16/2020,119.5848
6/17/2020,119.9289
6/18/2020,120.2371
6/19/2020,120.2372
6/22/2020,119.7728
6/23/2020,119.3492
6/24/2020,119.9955
6/25/2020,120.3206
6/26/2020,120.5543
6/29/2020,120.6879
6/30/2020,120.4864
7/1/2020,120.1019
7/2/2020,119.8752
7/3/2020,.
7/6/2020,119.3033
7/7/2020,119.5916
7/8/2020,119.5736
7/9/2020,119.5324
7/10/2020,119.3704
7/13/2020,119.209
7/14/2020,119.4113
7/15/2020,119.0535
7/16/2020,118.9479
7/17/2020,119.1452
7/20/2020,119.0706
7/21/2020,118.4261
7/22/2020,118.1567
7/23/2020,118.0852
7/24/2020,118.1577
7/27/2020,117.4115
7/28/2020,117.343
7/29/2020,117.2372
7/30/2020,117.4266
7/31/2020,117.2339
8/3/2020,117.834
8/4/2020,117.811
8/5/2020,116.9013
8/6/2020,117.0696
8/7/2020,117.6506
8/10/2020,117.6089
8/11/2020,117.4039
8/12/2020,117.2814
8/13/2020,117.1452
8/14/2020,116.9647
8/17/2020,116.7747
8/18/2020,116.5871
8/19/2020,116.5934
8/20/2020,116.8385
8/21/2020,117.0814
8/24/2020,116.9368
8/25/2020,116.8451
8/26/2020,116.6482
8/27/2020,116.6746
8/28/2020,115.9636
8/31/2020,115.785
9/1/2020,115.5944
9/2/2020,116.0543
9/3/2020,116.0912
9/4/2020,116.0569
9/7/2020,.
9/8/2020,116.4831
9/9/2020,116.1494
9/10/2020,115.9001
9/11/2020,116.1053
9/14/2020,115.6608
9/15/2020,115.6074
9/16/2020,115.3699
9/17/2020,115.4549
9/18/2020,115.2557
9/21/2020,116.3957
9/22/2020,116.5609
9/23/2020,117.2726
9/24/2020,117.5682
9/25/2020,117.8886
9/28/2020,117.6393
9/29/2020,117.5484
9/30/2020,116.9668
10/1/2020,116.7437
10/2/2020,116.7511
10/5/2020,116.1954
10/6/2020,116.2866
10/7/2020,116.3631
10/8/2020,116.1836
10/9/2020,115.2913
10/12/2020,.
10/13/2020,115.9272
10/14/2020,115.7033
10/15/2020,116.1111
10/16/2020,115.7815
10/19/2020,115.4171
10/20/2020,115.262
10/21/2020,114.9252
10/22/2020,115.13
10/23/2020,115.0261
10/26/2020,115.2934
10/27/2020,115.0267
10/28/2020,115.8157
10/29/2020,116.319
10/30/2020,116.1464
11/2/2020,116.2476
11/3/2020,115.4917
11/4/2020,115.178
11/5/2020,114.4662
11/6/2020,114.0021
11/9/2020,114.0977
11/10/2020,114.0836
11/11/2020,.
11/12/2020,114.292
11/13/2020,114.2474
11/16/2020,113.8384
11/17/2020,113.689
11/18/2020,113.4675
11/19/2020,113.701
11/20/2020,113.4958
11/23/2020,113.7617
11/24/2020,113.4394
11/25/2020,113.1903
11/26/2020,.
11/27/2020,.
11/30/2020,113.2346
12/1/2020,112.8162
12/2/2020,112.6216
12/3/2020,112.0336
12/4/2020,111.7863
12/7/2020,111.8469
12/8/2020,111.8715
12/9/2020,112.0388
12/10/2020,111.9881
12/11/2020,112.1515
12/14/2020,112.182
12/15/2020,111.871
12/16/2020,111.7262
12/17/2020,111.2339
12/18/2020,111.619
12/21/2020,111.9528
12/22/2020,112.2053
12/23/2020,111.9926
12/24/2020,.
12/25/2020,.
12/28/2020,111.9874
12/29/2020,111.5289
12/30/2020,111.3207
12/31/2020,111.3289
1/1/2021,.
1/4/2021,111.217
1/5/2021,110.961
1/6/2021,110.8645
1/7/2021,111.3124
1/8/2021,111.294
1/11/2021,111.8309
1/12/2021,111.5577
1/13/2021,111.3738
1/14/2021,111.1718
1/15/2021,111.5263
1/18/2021,.
1/19/2021,111.4656
1/20/2021,.
1/21/2021,111.2088
1/22/2021,111.5525
1/25/2021,111.8617
1/26/2021,111.6516
1/27/2021,112.0706
1/28/2021,111.9977
1/29/2021,111.9455
2/1/2021,112.4154
2/2/2021,112.2957
2/3/2021,112.2654
2/4/2021,112.7501
2/5/2021,112.2477
2/8/2021,112.0516
2/9/2021,111.7674
2/10/2021,111.5878
2/11/2021,111.5372
2/12/2021,111.5016
2/15/2021,.
2/16/2021,111.7981
2/17/2021,112.0337
2/18/2021,112.1653
2/19/2021,111.7086
2/22/2021,111.9066
2/23/2021,111.8926
2/24/2021,111.7265
2/25/2021,111.9134
2/26/2021,112.8163
3/1/2021,112.5266
3/2/2021,112.5296
3/3/2021,112.7543
3/4/2021,112.7095
3/5/2021,113.7501
3/8/2021,114.2699
3/9/2021,113.9278
3/10/2021,113.5992
3/11/2021,112.9392
3/12/2021,113.0491
3/15/2021,113.2171
3/16/2021,113.0142
3/17/2021,113.1834
3/18/2021,112.805
3/19/2021,113.0073
3/22/2021,113.0269
3/23/2021,113.3179
3/24/2021,113.6794
3/25/2021,114.0262
3/26/2021,113.7691
3/29/2021,113.9594
3/30/2021,114.2332
3/31/2021,113.8642
4/1/2021,113.7803
4/2/2021,113.7743
4/5/2021,113.4328
4/6/2021,113.183
4/7/2021,113.275
4/8/2021,113.1238
4/9/2021,113.2334
4/12/2021,113.2081
4/13/2021,113.0642
4/14/2021,112.8075
4/15/2021,112.6482
4/16/2021,112.5126
4/19/2021,112.2061
4/20/2021,112.2528
4/21/2021,112.196
4/22/2021,112.2543
4/23/2021,112.11
4/26/2021,111.8371
4/27/2021,111.9358
4/28/2021,111.8195
4/29/2021,111.7731
4/30/2021,112.1151
5/3/2021,112.0298
5/4/2021,112.3155
5/5/2021,112.1789
5/6/2021,111.8718
5/7/2021,111.0562
5/10/2021,110.8214
5/11/2021,110.9218
5/12/2021,111.5963
5/13/2021,111.6295
5/14/2021,111.1712
5/17/2021,111.1111
5/18/2021,110.8629
5/19/2021,110.9092
5/20/2021,110.8864
5/21/2021,111.0841
5/24/2021,110.9345
5/25/2021,110.8653
